/api # node monitor.cjs 
2025-09-27T16:26:00.181Z | RSS: 37.41 MB | HeapUsed: 3.01 MB | HeapTotal: 3.98 MB | External: 1.07 MB
2025-09-27T16:26:10.189Z | RSS: 40.28 MB | HeapUsed: 3.51 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:26:20.196Z | RSS: 40.28 MB | HeapUsed: 3.51 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:26:30.205Z | RSS: 40.28 MB | HeapUsed: 3.51 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:26:40.213Z | RSS: 40.28 MB | HeapUsed: 3.51 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:26:50.221Z | RSS: 40.28 MB | HeapUsed: 3.52 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:27:00.230Z | RSS: 40.28 MB | HeapUsed: 3.52 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:27:10.252Z | RSS: 40.28 MB | HeapUsed: 3.52 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:27:20.249Z | RSS: 40.28 MB | HeapUsed: 3.52 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:27:30.254Z | RSS: 40.28 MB | HeapUsed: 3.52 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:27:40.264Z | RSS: 40.28 MB | HeapUsed: 3.52 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:27:50.272Z | RSS: 40.28 MB | HeapUsed: 3.53 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:28:00.288Z | RSS: 40.28 MB | HeapUsed: 3.53 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:28:10.296Z | RSS: 40.28 MB | HeapUsed: 3.53 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:28:20.305Z | RSS: 40.28 MB | HeapUsed: 3.53 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:28:30.315Z | RSS: 40.28 MB | HeapUsed: 3.53 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:28:40.324Z | RSS: 40.28 MB | HeapUsed: 3.53 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:28:50.334Z | RSS: 40.28 MB | HeapUsed: 3.54 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:29:00.344Z | RSS: 40.28 MB | HeapUsed: 3.54 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:29:10.352Z | RSS: 40.28 MB | HeapUsed: 3.54 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:29:20.361Z | RSS: 40.28 MB | HeapUsed: 3.54 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:29:30.368Z | RSS: 40.28 MB | HeapUsed: 3.54 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:29:40.378Z | RSS: 40.28 MB | HeapUsed: 3.55 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:29:50.388Z | RSS: 40.28 MB | HeapUsed: 3.55 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:30:00.396Z | RSS: 40.28 MB | HeapUsed: 3.55 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:30:10.404Z | RSS: 40.28 MB | HeapUsed: 3.55 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:30:20.412Z | RSS: 40.28 MB | HeapUsed: 3.55 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:30:30.420Z | RSS: 40.28 MB | HeapUsed: 3.55 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:30:40.425Z | RSS: 40.28 MB | HeapUsed: 3.56 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:30:50.433Z | RSS: 40.28 MB | HeapUsed: 3.56 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:31:00.440Z | RSS: 40.28 MB | HeapUsed: 3.56 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:31:10.444Z | RSS: 40.28 MB | HeapUsed: 3.56 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:31:20.453Z | RSS: 40.28 MB | HeapUsed: 3.56 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:31:30.463Z | RSS: 40.28 MB | HeapUsed: 3.56 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:31:40.472Z | RSS: 40.28 MB | HeapUsed: 3.57 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:31:50.473Z | RSS: 40.28 MB | HeapUsed: 3.57 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:32:00.482Z | RSS: 40.28 MB | HeapUsed: 3.57 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:32:10.492Z | RSS: 40.28 MB | HeapUsed: 3.57 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:32:20.500Z | RSS: 40.28 MB | HeapUsed: 3.57 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:32:30.508Z | RSS: 40.28 MB | HeapUsed: 3.57 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:32:40.518Z | RSS: 40.28 MB | HeapUsed: 3.58 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:32:50.528Z | RSS: 40.28 MB | HeapUsed: 3.58 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:33:00.536Z | RSS: 40.28 MB | HeapUsed: 3.58 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:33:10.547Z | RSS: 40.28 MB | HeapUsed: 3.58 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:33:20.556Z | RSS: 40.28 MB | HeapUsed: 3.58 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:33:30.564Z | RSS: 40.28 MB | HeapUsed: 3.58 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:33:40.565Z | RSS: 40.28 MB | HeapUsed: 3.59 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:33:50.568Z | RSS: 40.28 MB | HeapUsed: 3.59 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:34:00.576Z | RSS: 40.28 MB | HeapUsed: 3.59 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:34:10.584Z | RSS: 40.28 MB | HeapUsed: 3.59 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:34:20.592Z | RSS: 40.28 MB | HeapUsed: 3.59 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:34:30.600Z | RSS: 40.28 MB | HeapUsed: 3.59 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:34:40.608Z | RSS: 40.28 MB | HeapUsed: 3.60 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:34:50.618Z | RSS: 40.28 MB | HeapUsed: 3.60 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:35:00.628Z | RSS: 40.28 MB | HeapUsed: 3.60 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:35:10.652Z | RSS: 40.28 MB | HeapUsed: 3.60 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:35:20.660Z | RSS: 40.28 MB | HeapUsed: 3.60 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:35:30.670Z | RSS: 40.28 MB | HeapUsed: 3.60 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:35:40.680Z | RSS: 40.28 MB | HeapUsed: 3.61 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:35:50.688Z | RSS: 40.28 MB | HeapUsed: 3.61 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:36:00.696Z | RSS: 40.28 MB | HeapUsed: 3.61 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:36:10.704Z | RSS: 40.28 MB | HeapUsed: 3.61 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:36:20.712Z | RSS: 40.28 MB | HeapUsed: 3.61 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:36:30.713Z | RSS: 40.28 MB | HeapUsed: 3.61 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:36:40.720Z | RSS: 40.28 MB | HeapUsed: 3.62 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:36:50.727Z | RSS: 40.28 MB | HeapUsed: 3.62 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:37:00.736Z | RSS: 40.28 MB | HeapUsed: 3.62 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:37:10.744Z | RSS: 40.28 MB | HeapUsed: 3.62 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:37:20.752Z | RSS: 40.28 MB | HeapUsed: 3.62 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:37:30.760Z | RSS: 40.28 MB | HeapUsed: 3.62 MB | HeapTotal: 4.23 MB | External: 1.35 MB
